Дата,ID_пробы,Точка_отбора,A_Fe_сигнал,pH_измерено,Температура_C,Электропроводность_мкСм_см
2026-05-05,S-0345,Точка-2 (резервуар),0.2144,7.04,14.6,920.0
2026-05-05,S-0346,Точка-1 (скважина),0.0866,7.75,21.2,918.0
2026-05-05,S-0347,Точка-1 (скважина),0.1244,7.07,21.9,534.0
2026-05-05,S-0348,Точка-2 (резервуар),0.0452,6.63,18.5,951.0
2026-05-06,S-0349,Точка-3 (сброс),0.2905,7.24,11.3,522.0
2026-05-06,S-0350,Точка-1 (скважина),0.058,8.05,9.4,449.0
2026-05-06,S-0351,Точка-3 (сброс),0.2931,7.52,19.4,551.0
2026-05-06,S-0352,Точка-1 (скважина),0.0883,6.38,22.2,589.0
2026-05-07,S-0353,Точка-1 (скважина),0.0225,7.58,13.2,677.0
2026-05-07,S-0354,Точка-1 (скважина),0.005,7.46,16.7,556.0
2026-05-07,S-0355,Точка-2 (резервуар),0.1164,6.86,20.0,799.0
2026-05-07,S-0356,Точка-1 (скважина),0.2243,6.99,12.6,150.0
2026-05-08,S-0357,Точка-1 (скважина),0.1765,7.35,15.7,669.0
2026-05-08,S-0358,Точка-2 (резервуар),0.0729,7.53,18.8,740.0
2026-05-08,S-0359,Точка-1 (скважина),0.1711,8.21,17.3,850.0
2026-05-08,S-0360,Точка-1 (скважина),0.287,7.48,10.5,353.0
2026-05-11,S-0361,Точка-2 (резервуар),0.1612,7.88,23.1,739.0
2026-05-11,S-0362,Точка-1 (скважина),0.0655,6.48,13.8,763.0
2026-05-11,S-0363,Точка-3 (сброс),0.3686,6.85,16.9,626.0
2026-05-11,S-0364,Точка-3 (сброс),0.342,7.56,18.6,783.0
2026-05-12,S-0365,Точка-3 (сброс),0.2924,7.47,21.4,714.0
2026-05-12,S-0366,Точка-2 (резервуар),0.1566,6.02,13.0,666.0
2026-05-12,S-0367,Точка-2 (резервуар),0.184,7.6,19.8,621.0
2026-05-12,S-0368,Точка-1 (скважина),0.0129,6.05,19.1,600.0
2026-05-13,S-0369,Точка-1 (скважина),0.1496,7.43,14.8,506.0
2026-05-13,S-0370,Точка-3 (сброс),0.2488,6.3,20.6,784.0
2026-05-13,S-0371,Точка-2 (резервуар),0.2033,7.33,10.7,472.0
2026-05-13,S-0372,Точка-2 (резервуар),0.1588,8.02,13.9,266.0
2026-05-14,S-0373,Точка-2 (резервуар),0.2071,6.65,12.4,778.0
2026-05-14,S-0374,Точка-3 (сброс),0.2126,6.94,18.3,659.0
2026-05-14,S-0375,Точка-2 (резервуар),0.1765,7.73,14.3,829.0
2026-05-14,S-0376,Точка-2 (резервуар),0.1129,6.09,14.9,739.0
